Term:English,Description:English,Part:English,Term:Afrikaans,Description:Afrikaans,Term:Amharic,Description:Amharic,Term:Arabic,Description:Arabic,Term:Bengali,Description:Bengali,Term:Bengali (India),Description:Bengali (India),Term:Bulgarian,Description:Bulgarian,Term:Catalan,Description:Catalan,Term:Chinese Simplified,Description:Chinese Simplified,Term:Czech,Description:Czech,Term:Danish,Description:Danish,Term:Dutch,Description:Dutch,Term:Finnish,Description:Finnish,Term:French,Description:French,Term:German,Description:German,Term:Greek,Description:Greek,Term:Haitian Creole,Description:Haitian Creole,Term:Hausa,Description:Hausa,Term:Hebrew,Description:Hebrew,Term:Hindi,Description:Hindi,Term:Hungarian,Description:Hungarian,Term:Igbo,Description:Igbo,Term:Indoensian,Description:Indoensian,Term:Italian,Description:Italian,Term:Japanese,Description:Japanese,Term:Korean,Description:Korean,Term:Nepali,Description:Nepali,Term:Norwegian,Description:Norwegian,Term:Oromo,Description:Oromo,Term:Persian,Description:Persian,Term:Polish,Description:Polish,Term:Portuguese,Description:Portuguese,Term:Portuguese (Brazilian),Description:Portuguese (Brazilian),Term:Romanian,Description:Romanian,Term:Russian,Description:Russian,Term:Serbian (Cyrillic),Description:Serbian (Cyrillic),Term:Shona,Description:Shona,Term:Sinhala,Description:Sinhala,Term:Spanish (Modern),Description:Spanish (Modern),Term:Swahili,Description:Swahili,Term:Swedish,Description:Swedish,Term:Telugu,Description:Telugu,Term:Thai,Description:Thai,Term:Turkish,Description:Turkish,Term:Ukranian,Description:Ukranian,Term:Urdu (Pakistan),Description:Urdu (Pakistan),Term:Vietnamese,Description:Vietnamese,Term:Yoruba,Description:Yoruba,Term:Zulu,Description:Zulu
Learning Platform,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plataforma de aprendizado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user stories,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,user stories,,,,,,,,,,,,,,,,,,histórias de usuário,,,,,,,,,,,,Historia de usuario,,,,,,,,,,,,Історія користувача,,,,,,,,,
freeCodeCamp,It's us!,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,freeCodeCamp,,,,freeCodeCamp,,,,,,,,freeCodeCamp,,,,,,,,,,,,,,,,,,,,,
pull-request,,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pull-requests,,,,,предложение на изменение/слияние/внесение в кодовую базу,,,,,,,solicitudes de extracción,,,,,,,,,,,,пул реквест,,,,,,,,,
Staging,a process used to assemble test and review a new solution before it is moved into production and the existing solution is decommissioned,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fase de preparo,um processo utilizado para montar testar e revisar uma nova solução antes de esta ser transferida para a produção e de a solução existente ser desativada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
build,a build is the process of converting source code files into standalone software artifact(s) that can be run on a computer or the result of doing so.,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,compilação,"no contexto do desenvolvimento de software é uma versão ""compilada"" de um software ou parte dele que contém um conjunto de recursos que poderão integrar o produto final.",,,,Сборка - это процесс преобразования файлов исходного кода в автономный программный артефакт(ы) который может быть запущен на компьютере или результат этого процесса.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deploy,Software deployment is all of the activities that make a software system available for use.,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,implantação,Implantação é a fase do ciclo de vida de um software que corresponde à passagem do software para a produção.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frivolous,,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,frívola,,,,,,,,,,,,,,,,,,,,,
LGTM,Looks Good To Me,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LGTM,Looks Good To Me,,,,,,,,,,,,,,,,,,,,
kick,,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,expulsar,,,,,,,,,,,,,,,,,,,,,
